dmc_code,name,rgb_hex
"B5200","Snow White","FFFFFF"
"White","White","FCFCFC"
"Ecru","Ecru","F0EADA"
"310","Black","000000"
"150","Dusty Rose Ultra Vy Dk","AB0249"
"151","Dusty Rose Vry Lt","F0CED4"
"152","Shell Pink Med Light","E2A099"
"153","Violet Very Light","E6CFDA"
"154","Grape Very Dark","572433"
"155","Blue Violet Med Dark","9891B6"
"156","Blue Violet Med Lt","A3A7C4"
"157","Cornflower Blue Vy Lt","BBC3D9"
"158","Cornflower Blu M V D","4C526E"
"159","Blue Gray Light","C7CAD7"
"160","Blue Gray Medium","999FB3"
"161","Blue Gray","767C94"
"162","Blue Ultra Very Light","DBECF5"
"163","Celadon Green Md","4D9E7A"
"164","Forest Green Lt","C8DDB8"
"165","Moss Green Vy Lt","ECEF91"
"166","Moss Green Md Lt","C0C840"
"167","Yellow Beige V Dk","A77B4B"
"168","Pewter Very Light","D1D1D1"
"169","Pewter Light","848484"
"208","Lavender Very Dark","835191"
"209","Lavender Dark","A37DAB"
"210","Lavender Medium","C4A4C8"
"211","Lavender Light","E3CBE3"
"221","Shell Pink Vy Dk","883E43"
"223","Shell Pink Light","CC847C"
"224","Shell Pink Very Light","EBB9B3"
"225","Shell Pink Ultra Vy Lt","FFDFD9"
"300","Mahogany Very Dark","6F2F00"
"301","Mahogany Medium","B35219"
"304","Christmas Red Medium","B71F33"
"307","Lemon","FDED54"
"309","Rose Dark","BA414C"
"311","Navy Blue Medium","1C5066"
"312","Navy Blue Light","355F7C"
"315","Antique Mauve Md Dk","814A5B"
"316","Antique Mauve Medium","B87A8B"
"317","Pewter Gray","6C6C6C"
"318","Steel Gray Light","A8A8A8"
"319","Pistachio Grn Vy Dk","205B3A"
"320","Pistachio Green Med","69895A"
"321","Christmas Red","C02A2A"
"322","Navy Blue Very Light","5A8BA8"
"326","Rose Very Dark","B33B4B"
"327","Violet Dark","633666"
"333","Blue Violet Very Dark","5C527D"
"334","Baby Blue Medium","739FC0"
"335","Rose","EE546E"
"336","Navy Blue","253B4D"
"340","Blue Violet Medium","ADA7C7"
"341","Blue Violet Light","B7B4D0"
"347","Salmon Very Dark","BF2D2D"
"349","Coral Dark","D21035"
"350","Coral Medium","E04848"
"351","Coral","E96A67"
"352","Coral Light","FD9C97"
"353","Peach","FEC3B5"
"355","Terra Cotta Dark","984436"
"356","Terra Cotta Medium","C56A53"
"357","Terra Cotta Vy Dk","6B3830"
"358","Terra Cotta Dk","864536"
"367","Pistachio Green Dk","617A52"
"368","Pistachio Green Lt","A6C391"
"369","Pistachio Grn Vy Lt","D6E7C6"
"370","Mustard Medium","B88B41"
"371","Mustard","BF9E5D"
"372","Mustard Light","CDB171"
"400","Mahogany Dark","8F4119"
"402","Mahogany Very Light","F7A777"
"407","Desert Sand Med","BB8B6E"
"413","Pewter Gray Dark","565656"
"414","Steel Gray Dark","8C8C8C"
"415","Pearl Gray","C8C8C8"
"420","Hazelnut Brown Dk","A0742D"
"422","Hazelnut Brown Lt","C69C6D"
"433","Brown Medium","7A4A1E"
"434","Brown Light","98652B"
"435","Brown Very Light","B8813A"
"436","Tan","CB9857"
"437","Tan Light","E3BD91"
"444","Lemon Dark","FFD700"
"445","Lemon Light","FFFAAB"
"451","Shell Gray Dark","908785"
"452","Shell Gray Medium","B2A8A5"
"453","Shell Gray Light","CBC4C1"
"469","Avocado Green","728B40"
"470","Avocado Green Lt","94AB4E"
"471","Avocado Grn Vy Lt","AEC26A"
"472","Avocado Grn Ul Lt","D8E498"
"498","Christmas Red Dark","A70B2A"
"500","Blue Green Vy Dk","0E5E51"
"501","Blue Green Dark","3B7468"
"502","Blue Green","5B9485"
"503","Blue Green Medium","7BB3A4"
"504","Blue Green Very Lt","C4DDD4"
"505","Jade Green","338268"
"517","Wedgwood Dark","3B708A"
"518","Wedgwood Light","5E98B2"
"519","Sky Blue","7EBBD1"
"520","Fern Green Dark","666D52"
"522","Fern Green","9AA183"
"523","Fern Green Light","ABB396"
"524","Fern Green Vy Lt","C5CBB6"
"535","Ash Gray Very Light","636363"
"543","Beige Brown Ul Vy Lt","F2E5D5"
"550","Violet Very Dark","5C2F66"
"552","Violet Medium","803C80"
"553","Violet","A25FA5"
"554","Violet Light","DB9DD7"
"561","Jade Very Dark","2C6B54"
"562","Jade Medium","53937E"
"563","Jade Light","8FC5AB"
"564","Jade Very Light","A7D4BF"
"580","Moss Green Dark","888E2D"
"581","Moss Green","A7AD38"
"597","Turquoise","5BB0BA"
"598","Turquoise Light","90C6CB"
"600","Cranberry Very Dark","CD2F5A"
"601","Cranberry Dark","D34A73"
"602","Cranberry Medium","E2608C"
"603","Cranberry","FF82A8"
"604","Cranberry Light","FFADC1"
"605","Cranberry Very Light","FFCDD7"
"606","Bright Orange-Red","FA2600"
"608","Bright Orange","FD4F00"
"610","Drab Brown Dk","796447"
"611","Drab Brown","967B52"
"612","Drab Brown Light","BC9F6A"
"613","Drab Brown Vy Lt","DCC89A"
"632","Desert Sand Ul Vy Dk","875540"
"640","Beige Gray Vy Dk","857C6C"
"642","Beige Gray Dark","A89F8D"
"644","Beige Gray Medium","DED8CA"
"645","Beaver Gray Vy Dk","6A6560"
"646","Beaver Gray Dk","888480"
"647","Beaver Gray Med","A8A5A1"
"648","Beaver Gray Light","BAB8B5"
"666","Christmas Red Bright","E31D42"
"676","Old Gold Light","E6C572"
"677","Old Gold Vy Lt","F5E8C0"
"680","Old Gold Dark","BC8E27"
"699","Christmas Green","056A1A"
"700","Christmas Green Bright","077B22"
"701","Christmas Green Lt","3F9026"
"702","Kelly Green","47A530"
"703","Chartreuse","7BB339"
"704","Chartreuse Bright","9EC23D"
"712","Cream","FFF7E8"
"718","Plum","9C2462"
"720","Orange Spice Dark","E55823"
"721","Orange Spice Med","F27B29"
"722","Orange Spice Light","F8993E"
"725","Topaz","FFC840"
"726","Topaz Light","FDD754"
"727","Topaz Very Light","FFF191"
"728","Topaz","D6A431"
"729","Old Gold Medium","D0A034"
"730","Olive Green Vy Dk","827A35"
"731","Olive Green Dark","918837"
"732","Olive Green","948A3A"
"733","Olive Green Med","BBB056"
"734","Olive Green Light","C7C06A"
"738","Tan Very Light","ECCE98"
"739","Tan Ultra Very Light","F8E7C8"
"740","Tangerine","FF8313"
"741","Tangerine Medium","FF9E00"
"742","Tangerine Light","FFBF00"
"743","Yellow Medium","FFE34C"
"744","Yellow Pale","FFE990"
"745","Yellow Pale Light","FFEEB3"
"746","Off White","FFF9E5"
"747","Sky Blue Very Light","E5F4F8"
"754","Peach Light","F7D4BC"
"758","Terra Cotta Very Lt","EEB89E"
"760","Salmon","F5A3A3"
"761","Salmon Light","FFC9C9"
"762","Pearl Gray Vy Lt","E8E8E8"
"772","Yellow Green Vy Lt","E4EEC0"
"775","Baby Blue Very Light","D9E9F3"
"776","Pink Medium","FCC2CD"
"777","Raspberry Very Dark","A31450"
"778","Antique Mauve Vy Lt","DFB9C3"
"779","Cocoa Dark","6B4848"
"780","Topaz Ultra Vy Dk","945D0A"
"781","Topaz Very Dark","A86B07"
